N,err_trap,err_simp
10,1.554468364913e+000,4.743302333452e-004
20,3.885902808948e-001,3.574711109877e-005
40,9.714559653247e-002,2.631588330360e-006
80,2.428625637731e-002,1.903410975501e-007
160,6.071553909578e-003,1.357977907901e-008
320,1.517887758610e-003,9.582663551555e-010
640,3.794718894312e-004,6.704681254632e-011
1280,9.486796881220e-005,4.575895218295e-012
2560,2.371699201831e-005,3.694822225953e-013
