dt,err_forward,err_centered,if_forward,if_centered,i_exact
1.000000000000e-001,4.172143741434e-005,4.350513391899e-008,-2.668782004094e-002,-2.672958498349e-002,-2.672954147836e-002
1.000000000000e-002,4.176055837267e-006,4.350547491705e-010,-2.672536542252e-002,-2.672954191341e-002,-2.672954147836e-002
1.000000000000e-003,4.176447438095e-007,4.338175652041e-012,-2.672912383361e-002,-2.672954148270e-002,-2.672954147836e-002
1.000000000000e-004,4.176475001255e-008,1.748393096968e-013,-2.672949971361e-002,-2.672954147853e-002,-2.672954147836e-002
1.000000000000e-005,4.183700632460e-009,3.710944745938e-012,-2.672953729466e-002,-2.672954147465e-002,-2.672954147836e-002
1.000000000000e-006,4.533512662497e-010,9.262056399617e-012,-2.672954102501e-002,-2.672954146909e-002,-2.672954147836e-002
1.000000000000e-007,6.753958711747e-010,1.202843588621e-010,-2.672954080296e-002,-2.672954135807e-002,-2.672954147836e-002
